Data,Regione,Cumulati positivi,Nuovi positivi,Deceduti,Nuovi morti,Attualmente positivi,Attualmente ricoverati,Ricoverati con sintomi,Terapia intensiva,Isolamento domiciliare,Dimessi guariti,Tamponi
Date,Region,Cumulative Positive ,New positives,Deceased,New dead,Currently positive ,Currently hospitalized,Hospitalized with symptoms,Intensive care,Home isolation,Discharged healed,Swabs
5/27/2020,Lombardia,87801,384,15954,58,24037,3801,3626,175,20236,47810,697561
5/27/2020,Liguria,9589,39,1438,7,1269,219,205,14,1050,6882,98835
5/27/2020,Piemonte,30387,73,3828,16,6464,1186,1118,68,5278,20095,298571
5/27/2020,Valle d'Aosta,1181,0,143,0,27,18,17,1,9,1011,14459
5/27/2020,Emilia-Romagna,27627,16,4083,7,3998,537,459,78,3461,19546,301568
5/27/2020,Friuli Venezia Giulia,3255,4,331,2,356,52,51,1,304,2568,123063
5/27/2020,Veneto,19113,8,1895,9,2287,177,168,9,2110,14931,616691
5/27/2020,Trentino-Alto Adige,7015,7,753,1,648,53,46,7,595,5614,144516
5/27/2020,Lazio,7672,11,701,8,3488,1127,1062,65,2361,3483,242287
5/27/2020,Marche,6718,0,996,0,1450,103,90,13,1347,4272,98535
5/27/2020,Toscana,10082,12,1027,6,1460,163,132,31,1297,7595,238667
5/27/2020,Umbria,1431,0,75,0,32,15,13,2,17,1324,66219
5/27/2020,Abruzzo,3235,5,400,0,866,141,138,3,725,1969,70473
5/27/2020,Basilicata,399,0,27,0,36,7,7,0,29,336,27734
5/27/2020,Calabria,1158,1,96,0,190,36,35,1,154,872,65631
5/27/2020,Campania,4773,6,406,1,1146,281,275,6,865,3221,185724
5/27/2020,Molise,434,2,22,0,166,5,3,2,161,246,13629
5/27/2020,Puglia,4479,10,495,1,1513,187,170,17,1326,2471,109499
5/27/2020,Sardegna,1355,1,130,0,215,43,41,2,172,1010,53294
5/27/2020,Sicilia,3435,5,272,1,1318,83,73,10,1235,1845,140295
5/27/2020,NA,231139,584,33072,117,50966,8234,7729,505,42732,147101,3607251
5/26/2020,Lombardia,87417,159,15896,22,24477,3805,3622,183,20672,47044,685058
5/26/2020,Liguria,9550,53,1431,6,1438,242,223,19,1196,6681,96678
5/26/2020,Piemonte,30314,86,3812,14,6941,1232,1162,70,5709,19561,293473
5/26/2020,Valle d'Aosta,1181,2,143,0,31,18,17,1,13,1007,14262
5/26/2020,Emilia-Romagna,27611,24,4076,8,4146,573,493,80,3573,19389,297854
5/26/2020,Friuli Venezia Giulia,3251,11,329,0,375,60,59,1,315,2547,121412
5/26/2020,Veneto,19105,8,1886,8,2431,188,177,11,2243,14788,602252
5/26/2020,Trentino-Alto Adige,7008,10,752,3,692,60,52,8,632,5564,142613
5/26/2020,Lazio,7661,18,693,5,3538,1142,1083,59,2396,3430,238967
5/26/2020,Marche,6718,2,996,1,1575,107,94,13,1468,4147,97285
