ID,Postcode,Locality,State,Longitude,Latitude,Category,Type,SA3,SA3 Name,SA4,SA4 Name,Status
458,1001,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
459,1002,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
460,1003,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
461,1004,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
462,1005,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
463,1006,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
464,1007,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
465,1008,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
466,1009,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
467,1010,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
468,1020,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
469,1021,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
470,1022,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
471,1023,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
472,1025,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
473,1026,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
474,1027,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
475,1028,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
476,1029,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
477,1030,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
478,1031,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
479,1032,SYDNEY,NSW,150.874182,-33.662834,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
480,1033,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
481,1034,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
482,1035,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
483,1036,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
484,1037,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
485,1038,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
486,1039,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
487,1040,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
488,1041,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
489,1042,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
490,1043,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
491,1044,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
492,1045,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
493,1046,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
494,1100,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
495,1101,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
496,1105,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
497,1106,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
498,1107,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
499,1108,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
500,1109,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
501,1110,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
502,1112,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
503,1113,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
504,1114,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
505,1115,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
506,1116,SYDNEY,NSW,150.866145,-33.666729,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
507,1117,SYDNEY,NSW,150.87022,-33.664575,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
508,1118,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
509,1119,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
510,1120,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
511,1121,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
512,1122,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
513,1123,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
514,1124,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
515,1125,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
516,1126,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
517,1127,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
518,1128,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
519,1129,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
520,1130,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
521,1131,SYDNEY,NSW,151.268071,-33.794883,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
522,1132,SYDNEY,NSW,150.874265,-33.66279,LVR,LVR,11703,Sydney Inner City,117,Sydney - City and Inner South,Updated 25-Mar-2020 SA3
